"M2","DOLARES","AMBIENTES","DORMITORIO","ANTIGUEDAD","A_ESTRENAR","FRENTE_Y_CONTRA","BAUL","COCHERA","BANIOS","LAVADERO","DEPENDENCIA","TERRAZA","BARRIOS"
130,240000,5,4,110,"","FRENTE","","",2,"","","","SAN NICOLAS"
41,83000,2,1,40,"","INTERNO","","",1,"SI","","","SAN NICOLAS"
90,180000,4,3,30,"","FRENTE","","SI",0,"","SI","","SAN NICOLAS"
134,390000,4,3,80,"","CONTRAFRENTE","SI","",2,"SI","SI","","SAN NICOLAS"
82,110000,4,3,50,"","FRENTE","","",1,"SI","","TERRAZA","VILLA DEL PARQUE"
55,100000,2,2,25,"","FRENTE","","",0,"","","BALCON","VILLA DEL PARQUE"
40,68000,2,1,40,"","FRENTE","","",1,"","","TERRAZA","VILLA DEL PARQUE"
46,85000,2,1,20,"","","","",0,"SI","","BALCON","VILLA DEL PARQUE"
53,75000,1,0,6,"","","","",0,"","","PATIO","VILLA DEL PARQUE"
91,155000,2,1,6,"","FRENTE","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
46,90000,2,1,16,"","FRENTE","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
80,135000,3,3,35,"","FRENTE","SI","",2,"SI","","","VILLA DEL PARQUE"
210,250000,3,3,70,"","FRENTE","","",2,"SI","","BALCON","VILLA DEL PARQUE"
70,116000,2,2,3,"","","","",0,"","","","VILLA DEL PARQUE"
48,92000,3,2,40,"","","","",0,"","","","VILLA DEL PARQUE"
104,170000,2,2,40,"","FRENTE","SI","",1,"SI","","TERRAZA","VILLA DEL PARQUE"
32,98000,2,1,30,"","FRENTE","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
44,85000,2,1,35,"","FRENTE","","",0,"","","","VILLA DEL PARQUE"
82,195000,3,3,40,"","FRENTE","","",0,"","","BALCON","VILLA DEL PARQUE"
102,210000,4,3,40,"","FRENTE","","SI",1,"SI","","","VILLA DEL PARQUE"
90,120000,2,2,45,"","CONTRAFRENTE","","",1,"SI","","TERRAZA","VILLA DEL PARQUE"
53,87500,4,3,50,"","CONTRAFRENTE","","",1,"","","","VILLA DEL PARQUE"
67,139000,4,3,30,"","FRENTE","","",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
106,160000,3,2,60,"","CONTRAFRENTE","","",1,"SI","","BALCON","VILLA DEL PARQUE"
45,81900,2,1,30,"","","","",0,"SI","SI","","VILLA DEL PARQUE"
76,162000,4,3,35,"","CONTRAFRENTE","","",1,"","","BALCON","VILLA DEL PARQUE"
155,350000,3,3,40,"","FRENTE","SI","",2,"SI","SI","BALCON","VILLA DEL PARQUE"
183,370000,4,3,30,"","FRENTE","","SI",0,"SI","SI","BALCON","VILLA DEL PARQUE"
35,65000,1,1,80,"","CONTRAFRENTE","","",1,"SI","","PATIO","VILLA DEL PARQUE"
61,139000,2,1,1,"","","","",1,"","","BALCON","VILLA DEL PARQUE"
89,110000,3,2,40,"","","","",0,"","","TERRAZA","VILLA DEL PARQUE"
102,139000,3,2,10,"","FRENTE","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
65,165000,3,2,3,"","FRENTE","SI","SI",2,"SI","SI","TERRAZA","VILLA DEL PARQUE"
70,120000,3,2,2,"","","SI","SI",2,"SI","SI","","VILLA DEL PARQUE"
54,118000,3,2,40,"","FRENTE","","",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
